100,0,6551,6,324
100,0,6712,6,327
100,0,6748,6,331
100,0,6767,6,335
100,0,6821,6,338
100,0,6911,6,342
100,0,6995,6,345
100,0,7089,6,348
100,0,7168,6,350
0,100,5902,6,320
0,100,5912,5,278
0,100,6520,4,239
0,100,5546,4,202
0,100,6001,3,169
0,100,4826,3,134
0,100,5048,2,105
0,0,4507,2,81
24,0,4734,2,78
28,0,3895,2,70
26,0,4865,2,75
0,3,4095,2,72
55,0,4123,2,68
36,0,5004,2,75
73,0,5058,2,79
94,0,6124,2,95
100,0,7214,2,115
100,0,5685,3,128
100,0,6459,3,147
100,0,7075,3,162
100,0,5569,4,173
100,0,5896,4,185
100,0,6278,4,196
100,0,6642,4,207
100,0,7127,4,220
100,0,5671,5,227
100,0,5945,5,236
100,0,6038,5,243
100,0,6254,5,248
100,0,6289,5,253
100,0,6349,5,257
100,0,6577,5,261
98,0,6678,5,263
100,0,6712,5,266
100,0,6801,5,268
97,0,6887,5,271
100,0,6934,5,274
100,0,7018,5,277
100,0,7038,5,279
100,0,7107,5,282
100,0,5974,6,288
100,0,6009,6,293
100,0,6082,6,299
100,0,6209,6,304
50,12,6257,6,309
0,86,5974,5,272
0,100,6349,4,235
0,100,5561,4,200
0,100,6013,3,167
0,100,4862,3,135
15,18,5498,2,105
41,0,5007,2,86
67,0,6085,2,92
0,0,5624,2,102
51,0,5968,2,98
97,0,6953,2,108
100,0,5209,3,122
100,0,6236,3,140
100,0,6896,3,157
100,0,5578,4,169
100,0,5896,4,182
100,0,6259,4,194
100,0,6705,4,204
100,0,6984,4,217
100,0,5698,5,227
0,100,6145,4,216
0,100,6214,3,183
60,3,6174,3,159
0,5,6144,3,155
0,3,5756,3,143
69,0,5601,3,135
10,0,5839,3,143
45,0,5587,3,136
100,0,6284,3,147
88,0,5741,4,158
100,0,5801,4,169
100,0,5974,4,182
100,0,6279,4,195
100,0,6648,4,207
100,0,6978,4,218
0,100,5903,4,209
0,100,6237,3,175
0,66,5219,3,143
36,0,5009,3,122
87,0,5273,3,126
100,0,6256,3,142
100,0,7003,3,155
100,0,5413,4,165
100,0,5893,4,179
100,0,6214,4,192
100,0,6485,4,204
100,0,6984,4,215
100,0,5706,5,225
100,0,5813,5,233
100,0,6007,5,242
100,0,6217,5,251
100,0,6384,5,259
100,0,6695,5,267
100,0,6741,5,274
100,0,6891,5,277
100,0,5895,6,284
100,0,6007,6,291
100,0,6124,6,297
100,0,6213,6,303
100,0,6257,6,309
100,0,6297,6,314
100,0,6475,6,318
100,0,6647,6,322
100,0,6739,6,326
86,0,6195,5,312
0,100,5741,5,273
0,100,6574,4,237
0,100,5547,4,200
0,100,6231,3,167
0,26,5231,3,140
84,3,5963,3,138
0,20,5641,3,144
100,0,6076,3,140
100,0,6812,3,157
0,0,6914,3,163
17,0,6785,3,155
93,0,7169,3,159
100,0,5569,4,167
100,0,5896,4,179
59,0,5374,4,174
91,0,6895,4,182
100,0,6214,4,191
30,0,6378,4,199
100,0,6912,4,188
100,0,6574,4,201
100,0,6741,4,212
100,0,5712,5,222
100,0,5841,5,232
100,0,6003,5,241
100,0,6214,5,249
100,0,6478,5,258
100,0,6647,5,266
100,0,6811,5,273
100,0,6991,5,280
100,0,5947,6,287
100,0,6004,6,292
100,0,6074,6,298
100,0,6194,6,304
100,0,6274,6,309
100,0,6384,6,315
100,0,6488,6,319
100,0,6557,6,324
80,20,6677,6,327
0,100,6341,5,292
0,100,5547,5,253
0,100,5863,4,214
0,100,6241,3,179
10,10,5569,3,149
48,0,6011,3,146
6,0,5586,3,140
23,0,5486,3,133
84,0,5789,3,132
26,0,5596,3,134
100,0,6245,3,140
100,0,6674,3,155
100,0,5374,4,163
100,0,5596,4,172
100,0,5776,4,182
100,0,6156,4,190
100,0,6485,4,199
100,0,6655,4,209
100,0,6941,4,216
100,0,5612,5,222
100,0,5674,5,230
100,0,5963,5,239
100,0,6201,5,247
100,0,6423,5,256
100,0,6486,5,263
100,0,6641,5,270
100,0,6801,5,277
100,0,7048,5,284
100,0,5906,6,290
100,0,5947,6,295
100,0,6189,6,301
100,0,6215,6,306
100,0,6345,6,311
100,0,6495,6,316
100,0,6578,6,321
100,0,6612,6,325
