2013-02-08,13992.97
2013-01-31,13860.58
2012-12-31,13104.14
2012-11-30,13025.58
2012-10-31,13096.46
2012-09-30,13437.13
2012-08-31,13090.84
2012-07-31,13008.68
2012-06-30,12880.09
2012-05-31,12393.45
2012-04-30,13213.63
2012-03-31,13212.04
2012-02-29,12952.07
2012-01-31,12632.91
2011-12-31,12217.56
2011-11-30,12045.68
2011-10-31,11955.01
2011-09-30,10913.38
2011-08-31,11613.53
2011-07-31,12143.24
2011-06-30,12414.34
2011-05-31,12569.79
2011-04-30,12810.54
2011-03-31,12319.73
2011-02-28,12226.34
2011-01-31,11891.93
2010-12-31,11577.51
2010-11-30,11006.02
2010-10-31,11118.49
2010-09-30,10788.05
2010-08-31,10014.72
2010-07-31,10465.94
2010-06-30,9774.02
2010-05-31,10136.63
2010-04-30,11008.61
2010-03-31,10856.63
2010-02-28,10325.26
2010-01-31,10067.33
2009-12-31,10428.05
2009-11-30,10344.84
2009-10-31,9712.73
2009-09-30,9712.28
2009-08-31,9496.28
2009-07-31,9171.61
2009-06-30,8447.0
2009-05-31,8500.33
2009-04-30,8168.12
2009-03-31,7608.92
2009-02-28,7062.93
2009-01-31,8000.86
2008-12-31,8776.39
2008-11-30,8829.04
2008-10-31,9325.01
2008-09-30,10850.66
2008-08-31,11543.55
2008-07-31,11378.02
2008-06-30,11350.01
2008-05-31,12638.32
2008-04-30,12820.13
2008-03-31,12262.89
2008-02-29,12266.39
2008-01-31,12650.36
2007-12-31,13264.82
2007-11-30,13371.72
2007-10-31,13930.01
2007-09-30,13895.63
2007-08-31,13357.74
2007-07-31,13211.99
2007-06-30,13408.62
2007-05-31,13627.64
2007-04-30,13062.91
2007-03-31,12354.35
2007-02-28,12268.63
2007-01-31,12621.69
2006-12-31,12463.15
2006-11-30,12221.93
2006-10-31,12080.73
2006-09-30,11679.07
2006-08-31,11381.15
2006-07-31,11185.68
2006-06-30,11150.22
2006-05-31,11168.31
2006-04-30,11367.14
2006-03-31,11109.32
2006-02-28,10993.41
2006-01-31,10864.86
2005-12-31,10717.5
2005-11-30,10805.87
2005-10-31,10440.07
2005-09-30,10568.7
2005-08-31,10481.6
2005-07-31,10640.91
2005-06-30,10274.97
2005-05-31,10467.48
2005-04-30,10192.51
2005-03-31,10503.76
2005-02-28,10766.23
2005-01-31,10489.94
2004-12-31,10783.01
2004-11-30,10428.02
2004-10-31,10027.47
2004-09-30,10080.27
2004-08-31,10173.92
2004-07-31,10139.71
2004-06-30,10435.48
2004-05-31,10188.45
2004-04-30,10225.57
2004-03-31,10357.7
2004-02-29,10583.92
2004-01-31,10488.07
2003-12-31,10453.92
2003-11-30,9782.46
2003-10-31,9801.12
2003-09-30,9275.06
2003-08-31,9415.82
2003-07-31,9233.8
2003-06-30,8985.44
2003-05-31,8850.26
2003-04-30,8480.09
2003-03-31,7992.13
2003-02-28,7891.08
2003-01-31,8053.81
2002-12-31,8341.63
2002-11-30,8896.09
2002-10-31,8397.03
2002-09-30,7591.93
2002-08-31,8663.5
2002-07-31,8736.59
2002-06-30,9243.26
2002-05-31,9925.25
2002-04-30,9946.22
2002-03-31,10403.94
2002-02-28,10106.13
2002-01-31,9920.0
2001-12-31,10021.5
2001-11-30,9851.56
2001-10-31,9075.14
2001-09-30,8847.56
2001-08-31,9949.75
2001-07-31,10522.81
2001-06-30,10502.4
2001-05-31,10911.94
2001-04-30,10734.97
2001-03-31,9878.78
2001-02-28,10495.28
2001-01-31,10887.36
2000-12-31,10786.85
2000-11-30,10414.49
2000-10-31,10971.14
2000-09-30,10650.92
2000-08-31,11215.1
2000-07-31,10521.98
2000-06-30,10447.9
2000-05-31,10522.34
2000-04-30,10733.92
2000-03-31,10921.93
2000-02-29,10128.31
2000-01-31,10940.54
1999-12-31,11497.12
1999-11-30,10877.81
1999-10-31,10729.87
1999-09-30,10336.96
1999-08-31,10829.28
1999-07-31,10655.15
1999-06-30,10970.81
1999-05-31,10559.75
1999-04-30,10789.04
1999-03-31,9786.16
1999-02-28,9306.57
1999-01-31,9358.82
1998-12-31,9181.43
1998-11-30,9116.55
1998-10-31,8592.11
1998-09-30,7842.62
